control_id,domain,status,title,assertion,technical_parameter,expected_value,evidence_sources,policy_path,collector_fields,ism,nzism,e8_maturity,soc2_criteria,iso27001,apra_cps220,notes
IATO-AC-011,Access Control,planned,Break-glass account governance,Break-glass accounts are minimal monitored and covered by current approval records.,accounts[].break_glass; accounts[].monitored; accounts[].approval_current,monitored and approval_current are true for every break-glass account,Break-glass register; alert configuration; access review,,accounts[].break_glass; accounts[].monitored; accounts[].approval_current,Emergency access management,Emergency access management,Restrict Administrative Privileges - ML3,CC6.3; CC7.2,A.5.18; A.8.15,CPS 220 incident and access governance,Break-glass count threshold is set outside this index.
IATO-AC-012,Access Control,implemented,MFA for privileged accounts,MFA is enabled for all privileged accounts.,accounts[].mfa_enabled,true for every account where accounts[].privileged is true,IAM or Entra account snapshot; MFA registration export,policies/ac/IATO-AC-012.rego,accounts[].privileged; accounts[].mfa_enabled,Multi-factor authentication,Multi-factor authentication,Multi-factor Authentication - ML3,CC6.1; CC6.6,A.5.17; A.8.5,CPS 220 key control monitoring,Implemented Rego assertion evaluates the collector-normalised accounts array.
IATO-AC-013,Access Control,implemented,Standing privileged access elimination,Privileged accounts do not have standing privileged access.,accounts[].standing_privileged_access,false for every account where accounts[].privileged is true,IAM or Entra privilege assignment snapshot; PIM or JIT export,policies/ac/IATO-AC-013.rego,accounts[].privileged; accounts[].standing_privileged_access,Privileged access management,Privileged access management,Restrict Administrative Privileges - ML3,CC6.2; CC6.3,A.5.15; A.5.18,CPS 220 key control monitoring,Implemented Rego assertion evaluates the collector-normalised accounts array.
IATO-CM-001,Configuration Management,planned,Approved configuration baseline,System configuration items are linked to an approved hardened baseline.,resources[].baseline_id; resources[].baseline_approved,baseline_approved is true for every in-scope resource,Baseline registry; cloud configuration snapshot,,resources[].baseline_id; resources[].baseline_approved,System hardening,Configuration management,Configure Microsoft Office Macro Settings - ML3,CC7.1; CC8.1,A.8.9; A.8.19,CPS 220 operational risk control design,Baseline content is maintained outside this index.
IATO-CM-002,Configuration Management,planned,Configuration drift detection,Production resources do not drift from the approved baseline beyond documented exceptions.,resources[].drift_status; resources[].exception_approved,drift_status is compliant unless exception_approved is true,Configuration scanner output; exception register,,resources[].drift_status; resources[].exception_approved,System hardening,Configuration management,User Application Hardening - ML3,CC7.1; CC7.2,A.8.9; A.8.16,CPS 220 monitoring and assurance,Drift scanner source is platform-specific.
IATO-CM-003,Configuration Management,planned,Change approval linkage,Material configuration changes are linked to approved change records.,changes[].approved; changes[].change_id,approved is true and change_id is present,Change management export; deployment metadata,,changes[].approved; changes[].change_id,Change management,Change management,Patch Applications - ML3,CC8.1,A.8.32,CPS 220 change control governance,Materiality threshold must be declared in the assessment profile.
IATO-CM-004,Configuration Management,planned,Asset classification completeness,In-scope assets have owner environment data classification and criticality metadata.,assets[].owner; assets[].environment; assets[].classification; assets[].criticality,all required metadata fields are present,Asset inventory; CMDB extract,,assets[].owner; assets[].environment; assets[].classification; assets[].criticality,Asset management,Asset management,Regular Backups - ML3,CC6.1; CC7.1,A.5.9; A.5.12,CPS 220 risk profile and asset inventory,Classification taxonomy is maintained outside this index.
IATO-CM-005,Configuration Management,planned,Secure logging configuration,In-scope systems emit security logs to the approved central logging destination.,resources[].logging_enabled; resources[].log_destination_approved,true for every in-scope resource,Cloud logging configuration; SIEM ingestion inventory,,resources[].logging_enabled; resources[].log_destination_approved,Event logging and monitoring,Event logging and monitoring,Restrict Administrative Privileges - ML3,CC7.2; CC7.3,A.8.15; A.8.16,CPS 220 operational risk monitoring,Retention requirements are asserted separately.
IATO-CM-006,Configuration Management,planned,Log retention baseline,Security logs are retained for at least the approved retention period.,log_sources[].retention_days,greater than or equal to required retention days,SIEM retention settings; storage lifecycle policy,,log_sources[].retention_days,Event logging,Event logging and retention,Restrict Administrative Privileges - ML3,CC7.2; CC7.4,A.8.15,CPS 220 assurance evidence retention,Required retention period must be declared in the assessment profile.
IATO-CM-007,Configuration Management,planned,Encryption at rest,In-scope data stores use approved encryption at rest.,resources[].encryption_at_rest; resources[].key_approved,true for every in-scope data store,Cloud resource configuration; KMS key inventory,,resources[].encryption_at_rest; resources[].key_approved,Cryptography,Cryptography,Regular Backups - ML3,CC6.7,A.8.24,CPS 220 operational control design,Key approval criteria are maintained outside this index.
IATO-CM-008,Configuration Management,planned,Encryption in transit,Externally reachable services enforce approved TLS configuration.,endpoints[].tls_enabled; endpoints[].tls_policy_approved,true for every externally reachable endpoint,TLS scanner output; load balancer configuration,,endpoints[].tls_enabled; endpoints[].tls_policy_approved,Cryptography,Communications security,User Application Hardening - ML3,CC6.7,A.8.20; A.8.24,CPS 220 technology risk controls,TLS policy version must be declared in the assessment profile.
IATO-CM-009,Configuration Management,planned,Vulnerability remediation SLA,Critical and high vulnerabilities are remediated within approved service levels.,findings[].severity; findings[].age_days; findings[].within_sla,within_sla is true for critical and high findings,Vulnerability scanner export; ticketing system evidence,,findings[].severity; findings[].age_days; findings[].within_sla,Vulnerability management,Vulnerability management,Patch Applications - ML3,CC7.1; CC7.2,A.8.8,CPS 220 control effectiveness monitoring,Severity taxonomy and SLA thresholds must be declared in the assessment profile.
IATO-BK-001,Backup and Recovery,planned,Critical system backup coverage,Critical systems have successful backup jobs within the approved recovery point objective.,assets[].criticality; backups[].last_success_age_hours,less than or equal to RPO for critical systems,Backup platform job report; asset criticality inventory,,assets[].criticality; backups[].last_success_age_hours,Backup and restoration,Backup and restoration,Regular Backups - ML3,CC7.4,A.8.13,CPS 220 business continuity control,Recovery point objective is supplied by the business continuity profile.
IATO-BK-002,Backup and Recovery,planned,Immutable backup protection,Backup copies for critical systems are immutable or protected from privileged overwrite for the required retention window.,backups[].immutable; backups[].retention_days,immutable is true and retention_days meets requirement,Backup vault policy; object lock or immutability configuration,,backups[].immutable; backups[].retention_days,Backup protection,Backup and restoration,Regular Backups - ML3,CC7.4,A.8.13,CPS 220 operational resilience control,Retention window must be declared in the assessment profile.
IATO-BK-003,Backup and Recovery,planned,Backup restoration testing,Restoration tests are completed and evidenced within the required interval.,restore_tests[].completed_at; restore_tests[].result_age_days,result is pass and age is within interval,Restore test records; incident exercise evidence,,restore_tests[].completed_at; restore_tests[].result_age_days,Backup restoration testing,Backup and restoration testing,Regular Backups - ML3,CC7.4,A.5.30; A.8.13,CPS 220 business continuity testing,Test interval must be declared in the assessment profile.
IATO-BK-004,Backup and Recovery,planned,Backup failure alerting,Backup job failures generate monitored alerts routed to an accountable operations queue.,backup_jobs[].failure_alert_enabled; backup_jobs[].alert_route_approved,true for every in-scope backup job,Backup platform alert settings; on-call routing config,,backup_jobs[].failure_alert_enabled; backup_jobs[].alert_route_approved,Monitoring and alerting,Monitoring and alerting,Regular Backups - ML3,CC7.2; CC7.4,A.8.15; A.8.16,CPS 220 operational monitoring,Alert route approval is maintained outside this index.
IATO-IM-001,Incident Management,planned,Incident response plan currency,Incident response plans are reviewed and approved within the required interval.,incident_plans[].review_age_days; incident_plans[].approved,approved is true and review_age_days is within interval,Incident response plan register; approval record,,incident_plans[].review_age_days; incident_plans[].approved,Incident response planning,Incident management,Restrict Administrative Privileges - ML3,CC7.3; CC7.4,A.5.24,CPS 220 incident management governance,Review interval must be declared in the assessment profile.
IATO-IM-002,Incident Management,planned,Incident exercise completion,Incident response exercises are completed within the required interval and produce tracked actions.,incident_exercises[].age_days; incident_exercises[].actions_tracked,age is within interval and actions_tracked is true,Exercise report; action register,,incident_exercises[].age_days; incident_exercises[].actions_tracked,Incident response exercising,Incident exercises,Restrict Administrative Privileges - ML3,CC7.4,A.5.24; A.5.27,CPS 220 operational resilience assurance,Exercise interval must be declared in the assessment profile.
IATO-IM-003,Incident Management,planned,Security incident triage SLA,Security alerts are triaged within the approved service level objective.,alerts[].triage_age_minutes; alerts[].within_sla,within_sla is true for every in-scope alert,SIEM alert export; case management records,,alerts[].triage_age_minutes; alerts[].within_sla,Incident detection and response,Incident detection and response,Restrict Administrative Privileges - ML3,CC7.2; CC7.3,A.5.25; A.5.26,CPS 220 incident response controls,Service level objective must be declared in the assessment profile.
IATO-IM-004,Incident Management,planned,Forensic evidence preservation,Incident evidence artefacts are preserved with integrity metadata and restricted access.,incident_evidence[].hash_present; incident_evidence[].access_restricted,true for every evidence artefact,Case evidence register; hash manifest; access control export,,incident_evidence[].hash_present; incident_evidence[].access_restricted,Evidence collection,Incident evidence management,Restrict Administrative Privileges - ML3,CC7.4,A.5.28,CPS 220 assurance and evidence retention,Complements but does not replace legal evidence handling requirements.
IATO-SC-001,Supply Chain Integrity,planned,Supplier security classification,Suppliers are classified by service criticality data access and security risk.,suppliers[].criticality; suppliers[].data_access; suppliers[].risk_rating,all required classification fields are present,Supplier register; procurement risk assessment,,suppliers[].criticality; suppliers[].data_access; suppliers[].risk_rating,Supplier risk management,Supplier management,Restrict Administrative Privileges - ML3,CC9.2,A.5.19; A.5.21,CPS 220 third-party risk management,Classification taxonomy is maintained outside this index.
IATO-SC-002,Supply Chain Integrity,planned,Supplier control assurance currency,Critical suppliers have current security assurance evidence.,suppliers[].critical; suppliers[].assurance_age_days,assurance_age_days is within threshold for critical suppliers,Supplier assurance report; questionnaire or attestation,,suppliers[].critical; suppliers[].assurance_age_days,Supplier assurance,Supplier assurance,Restrict Administrative Privileges - ML3,CC9.2,A.5.19; A.5.20,CPS 220 control assurance for service providers,Threshold must be declared in the assessment profile.
IATO-SC-003,Supply Chain Integrity,planned,Cloud service approval,Cloud services are approved before production use and linked to accountable owners.,cloud_services[].approved; cloud_services[].owner,approved is true and owner is present,Cloud service register; architecture approval,,cloud_services[].approved; cloud_services[].owner,Cloud service management,Cloud service management,Restrict Administrative Privileges - ML3,CC9.2,A.5.23,CPS 220 technology service provider governance,Approval workflow remains outside this index.
IATO-SC-004,Supply Chain Integrity,planned,Software provenance evidence,Production software artefacts include provenance metadata and integrity verification.,artifacts[].provenance_present; artifacts[].signature_verified,true for every production artefact,Build provenance; signing verification logs,,artifacts[].provenance_present; artifacts[].signature_verified,Software supply chain security,Software supply chain security,Patch Applications - ML3,CC8.1,A.8.25; A.8.28,CPS 220 operational technology controls,Applies where build systems can emit provenance metadata.
IATO-AI-001,AI Governance,planned,AI system inventory,AI systems and model-enabled features are registered with owner purpose and risk classification.,ai_systems[].owner; ai_systems[].purpose; ai_systems[].risk_rating,all required metadata fields are present,AI system register; architecture inventory,,ai_systems[].owner; ai_systems[].purpose; ai_systems[].risk_rating,Technology risk management,Emerging technology governance,Restrict Administrative Privileges - ML3,CC1.2; CC3.1,A.5.9; A.5.12,CPS 220 risk profile and control inventory,Framework tags are governance analogues because AI-specific framework mappings are not authoritative in this repository.
IATO-AI-002,AI Governance,planned,Model data handling approval,AI systems use approved data sources and documented data handling constraints.,ai_systems[].data_sources_approved; ai_systems[].data_constraints_documented,true for every AI system,Data source approval; privacy assessment; model card,,ai_systems[].data_sources_approved; ai_systems[].data_constraints_documented,Information protection,Information protection,User Application Hardening - ML3,CC6.5; CC6.7,A.5.12; A.5.34,CPS 220 data risk controls,Privacy legal conclusions remain outside this index.
IATO-AI-003,AI Governance,planned,Prompt and output logging controls,AI interactions in production are logged according to approved retention and privacy constraints.,ai_systems[].interaction_logging_enabled; ai_systems[].logging_approved,true for every production AI system,Application telemetry config; logging approval record,,ai_systems[].interaction_logging_enabled; ai_systems[].logging_approved,Event logging and monitoring,Event logging and monitoring,Restrict Administrative Privileges - ML3,CC7.2,A.8.15; A.8.16,CPS 220 monitoring and assurance,Logging must respect data minimisation requirements.
IATO-AI-004,AI Governance,planned,Human escalation for high-risk AI outputs,High-risk AI workflows include a documented human review or escalation control.,ai_workflows[].high_risk; ai_workflows[].human_review_required,human_review_required is true for high-risk workflows,Workflow design record; control attestation,,ai_workflows[].high_risk; ai_workflows[].human_review_required,Risk management and governance,Governance and risk management,Restrict Administrative Privileges - ML3,CC2.1; CC3.2,A.5.1; A.5.36,CPS 220 governance and risk control,Does not assert automated decision-law compliance.
IATO-AI-005,AI Governance,planned,AI abuse monitoring,AI systems have abuse detection signals and response routing for security-relevant misuse.,ai_systems[].abuse_monitoring_enabled; ai_systems[].response_route_approved,true for every production AI system,Abuse monitoring configuration; incident routing record,,ai_systems[].abuse_monitoring_enabled; ai_systems[].response_route_approved,Monitoring and incident response,Monitoring and incident response,Restrict Administrative Privileges - ML3,CC7.2; CC7.3,A.5.24; A.8.16,CPS 220 incident response controls,Signal design is platform-specific.
IATO-AI-006,AI Governance,planned,Model change governance,Model prompt retrieval or policy changes are linked to approved change records before production release.,ai_changes[].approved; ai_changes[].change_id,approved is true and change_id is present,Model registry; prompt repository; change record,,ai_changes[].approved; ai_changes[].change_id,Change management,Change management,Patch Applications - ML3,CC8.1,A.8.32,CPS 220 change control governance,Applies to model and AI application lifecycle changes.
